Timestamp (seconds),Load (Newton),Deflection (mm)
1.047,9.972,1.421
1.060,10.016,1.652
1.098,10.273,1.740
1.129,10.244,2.020
1.160,10.225,2.226
1.190,10.438,2.312
1.222,10.328,2.421
1.252,10.434,2.423
1.284,10.464,2.448
1.314,10.590,2.320
1.344,10.622,2.248
1.376,10.759,2.167
1.407,10.773,2.159
1.438,10.895,1.972
1.469,10.716,1.766
1.499,10.828,1.673
1.530,10.653,1.588
1.560,10.965,1.488
1.592,10.916,1.350
1.622,10.963,1.305
1.668,10.855,1.263
1.698,10.885,1.214
1.729,11.045,1.335
1.760,10.893,1.316
1.790,10.941,1.332
1.821,10.922,1.444
1.852,11.157,1.408
1.884,11.015,1.417
1.914,11.127,1.448
1.943,10.962,1.417
1.974,10.919,1.368
2.005,10.976,1.245
2.036,10.848,1.177
2.062,10.865,0.947
2.098,10.826,0.867
2.125,10.595,0.603
2.159,10.841,0.340
2.190,10.706,0.108
2.221,10.658,-0.097
2.251,10.615,-0.345
2.281,10.408,-0.680
2.312,10.437,-0.888
2.342,10.540,-1.089
2.374,10.423,-1.217
2.404,10.378,-1.259
2.435,10.208,-1.329
2.480,10.187,-1.443
2.511,10.439,-1.573
2.532,10.038,-1.510
2.560,10.063,-1.434
2.603,9.966,-1.308
2.634,9.927,-1.412
2.664,9.550,-1.222
2.695,9.679,-1.248
2.727,9.701,-1.161
2.757,9.593,-1.307
2.788,9.715,-1.307
2.818,9.536,-1.401
2.850,9.490,-1.475
2.880,9.519,-1.533
2.910,9.212,-1.667
2.941,9.297,-1.757
2.972,9.163,-1.875
3.003,9.304,-2.132
3.033,9.247,-2.158
3.065,9.133,-2.240
3.095,9.177,-2.494
3.126,9.158,-2.363
3.157,9.079,-2.334
3.187,9.058,-2.314
3.217,8.970,-2.269
3.249,9.050,-2.125
3.279,8.895,-1.989
3.310,9.016,-1.812
3.341,9.009,-1.618
3.387,9.074,-1.359
3.418,9.194,-1.200
3.448,9.007,-0.907
3.479,8.975,-0.715
3.510,8.903,-0.592
3.540,9.193,-0.387
3.571,9.003,-0.307
3.602,9.143,-0.267
3.632,9.166,-0.044
3.663,9.054,-0.071
3.694,9.074,-0.063
3.725,9.118,-0.088
3.756,9.251,0.002
3.787,9.391,0.029
3.817,9.327,0.020
3.848,9.392,-0.018
3.878,9.403,0.050
3.910,9.634,0.044
3.940,9.390,0.162
3.972,9.631,0.423
4.002,9.575,0.417
4.033,9.859,0.651
4.063,9.885,0.690
4.095,9.759,0.977
4.126,9.992,1.161
4.157,9.876,1.441
4.187,10.019,1.504
4.217,10.046,1.839
4.248,10.097,1.928
4.278,10.301,2.086
4.323,10.253,2.192
4.354,10.355,2.317
4.386,10.487,2.421
4.415,10.338,2.408
4.448,10.559,2.395
4.477,10.574,2.215
4.508,10.544,2.113
4.540,10.512,2.044
4.569,10.730,1.926
4.600,10.924,1.811
4.631,10.899,1.632
4.661,10.763,1.660
4.692,10.960,1.437
4.724,10.856,1.436
4.753,11.011,1.314
4.784,11.139,1.291
4.814,10.894,1.305
4.845,11.095,1.285
4.876,11.093,1.396
4.906,11.086,1.380
4.937,10.973,1.374
4.968,10.790,1.373
4.998,11.181,1.460
5.030,10.966,1.513
5.059,11.122,1.395
5.105,11.087,1.310
5.135,10.932,1.361
5.166,10.815,1.195
5.196,10.664,1.000
5.226,10.557,0.775
5.258,10.785,0.564
5.288,10.676,0.417
5.319,10.822,0.145
5.351,10.681,-0.152
5.381,10.652,-0.414
5.412,10.577,-0.611
5.442,10.555,-0.844
5.473,10.456,-0.992
5.502,10.391,-1.117
5.533,10.505,-1.383
5.564,10.280,-1.371
5.594,10.227,-1.367
5.624,10.210,-1.466
5.655,10.136,-1.427
5.686,10.119,-1.591
5.718,10.049,-1.377
5.748,9.970,-1.407
5.779,9.851,-1.319
5.809,9.915,-1.259
5.840,9.733,-1.365
5.888,9.656,-1.351
5.917,9.814,-1.364
5.949,9.579,-1.404
5.979,9.544,-1.363
6.011,9.414,-1.566
6.041,9.354,-1.587
6.071,9.381,-1.831
6.102,9.365,-1.854
6.132,9.357,-2.005
6.162,9.333,-2.239
6.193,9.121,-2.338
6.224,9.007,-2.309
6.255,9.174,-2.351
6.285,9.213,-2.339
6.315,9.118,-2.386
6.347,9.012,-2.238
6.378,8.991,-2.237
6.409,8.847,-2.051
6.440,9.035,-1.869
6.470,8.917,-1.642
6.500,8.896,-1.427
6.531,8.990,-1.124
6.561,9.064,-1.025
6.592,9.062,-0.806
6.623,8.922,-0.534
6.653,9.079,-0.482
6.699,8.998,-0.368
6.729,9.004,-0.144
6.760,9.348,-0.109
6.791,9.080,0.033
6.822,9.191,0.016
6.853,9.328,-0.093
6.884,9.235,-0.027
6.914,9.306,0.054
6.945,9.367,0.011
6.975,9.446,-0.004
7.005,9.552,0.122
7.037,9.660,0.106
7.067,9.654,0.146
7.097,9.468,0.328
7.128,9.610,0.420
7.159,9.753,0.555
7.190,9.867,0.739
7.221,9.770,0.986
7.251,9.950,1.167
7.282,10.216,1.509
7.312,9.787,1.559
7.343,10.008,1.779
7.374,10.275,1.997
7.405,10.413,2.074
7.435,10.194,2.236
7.466,10.355,2.280
7.511,10.622,2.332
7.542,10.553,2.301
7.572,10.499,2.371
7.602,10.686,2.245
7.633,10.559,2.209
7.665,10.509,2.070
7.695,10.640,1.882
7.725,10.837,1.777
7.756,10.960,1.720
7.787,11.066,1.600
7.818,10.833,1.471
7.850,10.810,1.458
7.879,10.785,1.334
7.909,11.072,1.222
7.940,10.979,1.119
7.970,10.881,1.398
8.001,11.115,1.305
8.032,11.083,1.333
8.063,10.956,1.380
8.094,11.023,1.416
8.125,10.819,1.446
8.156,11.056,1.423
8.186,11.076,1.412
8.217,10.944,1.427
8.247,10.935,1.347
8.278,10.954,1.178
8.323,10.762,1.019
8.354,10.950,0.828
8.385,10.922,0.616
8.415,10.652,0.353
8.445,10.481,0.073
8.476,10.722,-0.108
8.506,10.467,-0.399
8.537,10.806,-0.556
8.568,10.534,-0.818
8.598,10.614,-1.030
8.629,10.363,-1.191
8.660,10.355,-1.312
8.690,10.507,-1.448
8.721,10.230,-1.426
8.751,10.046,-1.453
8.782,10.110,-1.453
8.812,10.063,-1.444
8.843,9.969,-1.448
8.874,9.918,-1.368
8.904,9.860,-1.291
8.935,9.833,-1.302
8.966,9.824,-1.377
9.013,9.542,-1.295
9.043,9.769,-1.355
9.089,9.718,-1.361
9.120,9.506,-1.463
9.151,9.495,-1.581
9.181,9.600,-1.682
9.212,9.571,-1.837
9.243,9.259,-1.962
9.273,9.279,-2.055
9.303,9.019,-2.117
9.334,8.977,-2.181
9.364,9.212,-2.362
9.395,9.374,-2.376
9.426,9.109,-2.319
9.459,9.142,-2.340
9.488,9.088,-2.225
9.519,9.072,-2.154
9.550,8.961,-2.008
9.580,8.886,-1.801
9.611,8.786,-1.695
9.642,9.172,-1.386
9.672,8.991,-1.153
9.702,9.033,-1.078
9.734,8.994,-0.818
9.764,8.969,-0.593
9.794,9.123,-0.433
9.825,9.023,-0.233
9.872,9.198,-0.145
9.918,9.128,-0.043
9.948,9.009,-0.069
9.979,9.206,0.007
10.009,9.308,-0.086
